"Eetu2860" "Eetu2861" "Eetu3507" "Hippi3511" "Hippi3512" "Hippi3513" "ankka3499" "ankka3500" "ankka3501" "ankka3502" "ankka3503" "anna3506" "heppa3169" "heppa3170" "heppa3171" "heppa3172" "heppa3173" "istuu3514" "istuu3515" "istuu3516" "istuu3517" "istuu3518" "itkee3519" "kakka3182" "kakka3183" "kakka3184" "kakka3185" "kiikkaa1807" "kiikkaa3186" "kiikkaa3187" "kiikkaa3188" "kiikkaa3189" "kiinni1808" "kiinni1809" "kiinni1810" "kiinni1811" "kiinni1812" "kiitos1816" "kukka3196" "kukka3197" "loppu1817" "loppu1818" "loppu3520" "mamma3198" "mamma3199" "nappi3521" "omppu1819" "omppu3522" "pappa3200" "pipi2134" "pipi3201" "pipi3202" "poppa1820" "poppa2135" "rikki3523" "rikki3524" "räppäa2862"
"istuu3517" 3.3166247903554 3.3166247903554 0 6.32455532033676 6.32455532033676 6.32455532033676 5.65685424949238 5.65685424949238 5.65685424949238 5.65685424949238 5.65685424949238 6.32455532033676 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 0 0 0 0 0 5.65685424949238 8.97347903984778 8.97347903984778 8.97347903984778 8.97347903984778 9.9498743710662 8.97347903984778 8.97347903984778 5.65685424949238 8.97347903984778 9.9498743710662 9.9498743710662 6.6332495807108 9.9498743710662 9.9498743710662 6.6332495807108 8.97347903984778 8.97347903984778 12.3258319842781 12.3258319842781 6.32455532033676 11.5900232210637 11.5900232210637 6.32455532033676 12.3258319842781 6.32455532033676 9.15298244508295 9.47890245052378 9.32455532033676 9.32455532033676 15.3258319842781 9.47890245052378 5.65685424949238 5.65685424949238 6.47890245052378
"istuu3518" 3.3166247903554 3.3166247903554 0 6.32455532033676 6.32455532033676 6.32455532033676 5.65685424949238 5.65685424949238 5.65685424949238 5.65685424949238 5.65685424949238 6.32455532033676 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 0 0 0 0 0 5.65685424949238 8.97347903984778 8.97347903984778 8.97347903984778 8.97347903984778 9.9498743710662 8.97347903984778 8.97347903984778 5.65685424949238 8.97347903984778 9.9498743710662 9.9498743710662 6.6332495807108 9.9498743710662 9.9498743710662 6.6332495807108 8.97347903984778 8.97347903984778 12.3258319842781 12.3258319842781 6.32455532033676 11.5900232210637 11.5900232210637 6.32455532033676 12.3258319842781 6.32455532033676 9.15298244508295 9.47890245052378 9.32455532033676 9.32455532033676 15.3258319842781 9.47890245052378 5.65685424949238 5.65685424949238 6.47890245052378
"itkee3519" 6.14505191510159 6.14505191510159 5.65685424949238 6.32455532033676 6.32455532033676 6.32455532033676 0 0 0 0 0 8.48528137423857 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 5.65685424949238 5.65685424949238 5.65685424949238 5.65685424949238 5.65685424949238 0 3.3166247903554 3.3166247903554 3.3166247903554 3.3166247903554 9.9498743710662 3.3166247903554 3.3166247903554 0 3.3166247903554 9.9498743710662 9.9498743710662 6.6332495807108 9.9498743710662 9.9498743710662 6.6332495807108 3.3166247903554 3.3166247903554 12.3258319842781 12.3258319842781 6.32455532033676 11.5900232210637 11.5900232210637 6.32455532033676 12.3258319842781 6.32455532033676 9.15298244508295 9.47890245052378 9.32455532033676 9.32455532033676 15.3258319842781 9.47890245052378 0 0 6.47890245052378
"kakka3182" 9.46167670545699 9.46167670545699 8.97347903984778 9.64118011069216 9.64118011069216 9.64118011069216 3.3166247903554 3.3166247903554 3.3166247903554 3.3166247903554 3.3166247903554 11.801906164594 8.82455532033676 8.82455532033676 8.82455532033676 8.82455532033676 8.82455532033676 8.97347903984778 8.97347903984778 8.97347903984778 8.97347903984778 8.97347903984778 3.3166247903554 0 0 0 0 6.6332495807108 0 0 3.3166247903554 0 6.6332495807108 6.6332495807108 9.9498743710662 6.6332495807108 6.6332495807108 9.9498743710662 0 0 12.6746308458599 12.6746308458599 9.64118011069216 13.4164078649987 13.4164078649987 9.64118011069216 12.6746308458599 9.64118011069216 9.64118011069216 9.64118011069216 9.48683298050514 9.48683298050514 15.4881096444464 9.64118011069216 3.3166247903554 3.3166247903554 9.79552724087918
"kakka3183" 9.46167670545699 9.46167670545699 8.97347903984778 9.64118011069216 9.64118011069216 9.64118011069216 3.3166247903554 3.3166247903554 3.3166247903554 3.3166247903554 3.3166247903554 11.801906164594 8.82455532033676 8.82455532033676 8.82455532033676 8.82455532033676 8.82455532033676 8.97347903984778 8.97347903984778 8.97347903984778 8.97347903984778 8.97347903984778 3.3166247903554 0 0 0 0 6.6332495807108 0 0 3.3166247903554 0 6.6332495807108 6.6332495807108 9.9498743710662 6.6332495807108 6.6332495807108 9.9498743710662 0 0 12.6746308458599 12.6746308458599 9.64118011069216 13.4164078649987 13.4164078649987 9.64118011069216 12.6746308458599 9.64118011069216 9.64118011069216 9.64118011069216 9.48683298050514 9.48683298050514 15.4881096444464 9.64118011069216 3.3166247903554 3.3166247903554 9.79552724087918
"kakka3184" 9.46167670545699 9.46167670545699 8.97347903984778 9.64118011069216 9.64118011069216 9.64118011069216 3.3166247903554 3.3166247903554 3.3166247903554 3.3166247903554 3.3166247903554 11.801906164594 8.82455532033676 8.82455532033676 8.82455532033676 8.82455532033676 8.82455532033676 8.97347903984778 8.97347903984778 8.97347903984778 8.97347903984778 8.97347903984778 3.3166247903554 0 0 0 0 6.6332495807108 0 0 3.3166247903554 0 6.6332495807108 6.6332495807108 9.9498743710662 6.6332495807108 6.6332495807108 9.9498743710662 0 0 12.6746308458599 12.6746308458599 9.64118011069216 13.4164078649987 13.4164078649987 9.64118011069216 12.6746308458599 9.64118011069216 9.64118011069216 9.64118011069216 9.48683298050514 9.48683298050514 15.4881096444464 9.64118011069216 3.3166247903554 3.3166247903554 9.79552724087918
"kakka3185" 9.46167670545699 9.46167670545699 8.97347903984778 9.64118011069216 9.64118011069216 9.64118011069216 3.3166247903554 3.3166247903554 3.3166247903554 3.3166247903554 3.3166247903554 11.801906164594 8.82455532033676 8.82455532033676 8.82455532033676 8.82455532033676 8.82455532033676 8.97347903984778 8.97347903984778 8.97347903984778 8.97347903984778 8.97347903984778 3.3166247903554 0 0 0 0 6.6332495807108 0 0 3.3166247903554 0 6.6332495807108 6.6332495807108 9.9498743710662 6.6332495807108 6.6332495807108 9.9498743710662 0 0 12.6746308458599 12.6746308458599 9.64118011069216 13.4164078649987 13.4164078649987 9.64118011069216 12.6746308458599 9.64118011069216 9.64118011069216 9.64118011069216 9.48683298050514 9.48683298050514 15.4881096444464 9.64118011069216 3.3166247903554 3.3166247903554 9.79552724087918
"kiikkaa1807" 6.6332495807108 6.6332495807108 9.9498743710662 9.3166247903554 9.3166247903554 9.3166247903554 9.9498743710662 9.9498743710662 9.9498743710662 9.9498743710662 9.9498743710662 9.3166247903554 8.5 8.5 8.5 8.5 8.5 9.9498743710662 9.9498743710662 9.9498743710662 9.9498743710662 9.9498743710662 9.9498743710662 6.6332495807108 6.6332495807108 6.6332495807108 6.6332495807108 0 6.6332495807108 6.6332495807108 9.9498743710662 6.6332495807108 0 0 3.3166247903554 0 0 3.3166247903554 6.6332495807108 6.6332495807108 6.04138126514911 6.04138126514911 9.3166247903554 9.76363857712876 9.76363857712876 9.3166247903554 6.04138126514911 9.3166247903554 9.3166247903554 6.16227766016838 9.16227766016838 9.16227766016838 8.85486006373563 6.16227766016838 9.9498743710662 9.9498743710662 6.3166247903554
"kiikkaa3186" 9.46167670545699 9.46167670545699 8.97347903984778 9.64118011069216 9.64118011069216 9.64118011069216 3.3166247903554 3.3166247903554 3.3166247903554 3.3166247903554 3.3166247903554 11.801906164594 8.82455532033676 8.82455532033676 8.82455532033676 8.82455532033676 8.82455532033676 8.97347903984778 8.97347903984778 8.97347903984778 8.97347903984778 8.97347903984778 3.3166247903554 0 0 0 0 6.6332495807108 0 0 3.3166247903554 0 6.6332495807108 6.6332495807108 9.9498743710662 6.6332495807108 6.6332495807108 9.9498743710662 0 0 12.6746308458599 12.6746308458599 9.64118011069216 13.4164078649987 13.4164078649987 9.64118011069216 12.6746308458599 9.64118011069216 9.64118011069216 9.64118011069216 9.48683298050514 9.48683298050514 15.4881096444464 9.64118011069216 3.3166247903554 3.3166247903554 9.79552724087918
"kiikkaa3187" 9.46167670545699 9.46167670545699 8.97347903984778 9.64118011069216 9.64118011069216 9.64118011069216 3.3166247903554 3.3166247903554 3.3166247903554 3.3166247903554 3.3166247903554 11.801906164594 8.82455532033676 8.82455532033676 8.82455532033676 8.82455532033676 8.82455532033676 8.97347903984778 8.97347903984778 8.97347903984778 8.97347903984778 8.97347903984778 3.3166247903554 0 0 0 0 6.6332495807108 0 0 3.3166247903554 0 6.6332495807108 6.6332495807108 9.9498743710662 6.6332495807108 6.6332495807108 9.9498743710662 0 0 12.6746308458599 12.6746308458599 9.64118011069216 13.4164078649987 13.4164078649987 9.64118011069216 12.6746308458599 9.64118011069216 9.64118011069216 9.64118011069216 9.48683298050514 9.48683298050514 15.4881096444464 9.64118011069216 3.3166247903554 3.3166247903554 9.79552724087918
